Championship,Week,Team 1,Team 1 Score,Team 2,Team 2 Score,Final Score,Kick-off Time,Status,Channel
الدوري الإنجليزي,الأسبوع الرابع والعشرون,سندرلاند,3,بيرنلي,0,3 - 0,22:00,انتهت,بى ان سبورت 1HD
الدوري الإسباني,الأسبوع الثاني والعشرون,مايوركا,4,اشبيلية,1,4 - 1,22:00,انتهت,بى ان سبورت 2 HD
الدوري الإيطالي,الأسبوع الثالث والعشرون,أودينيزي,1,روما,0,1 - 0,21:45,انتهت,Starz Play App
الدوري السعودي,الأسبوع العشرون,الرياض,0,النصر,1,0 - 1,17:15,انتهت,ثمانية 1
الدوري السعودي,الأسبوع العشرون,الأخدود,1,نادي نيوم,1,1 - 1,19:30,انتهت,ثمانية 1
الدوري السعودي,الأسبوع العشرون,الهلال,0,أهلي جدة,0,0 - 0,19:30,انتهت,ثمانية 1
